# This is the run log of SGP
# Time step used = 0.0078125
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.007813    8.000000    0.000000
0.015625    8.000000    -0.000068
0.023438    7.999999    -0.000137
0.031250    7.999997    -0.000205
0.039063    7.999995    -0.000273
0.046875    7.999992    -0.000341
0.054688    7.999989    -0.000410
0.062500    7.999985    -0.000478
0.070313    7.999981    -0.000546
0.078125    7.999976    -0.000614
0.085938    7.999971    -0.000683
0.093750    7.999965    -0.000751
0.101563    7.999959    -0.000819
0.109375    7.999952    -0.000887
0.117188    7.999944    -0.000956
0.125000    7.999936    -0.001024
0.132813    7.999928    -0.001092
0.140625    7.999918    -0.001160
0.148438    7.999909    -0.001229
0.156250    7.999899    -0.001297
0.164063    7.999888    -0.001365
0.171875    7.999877    -0.001433
0.179688    7.999866    -0.001502
0.187500    7.999853    -0.001570
0.195313    7.999840    -0.001638
0.203125    7.999827    -0.001706
0.210938    7.999813    -0.001775
0.218750    7.999799    -0.001843
0.226563    7.999784    -0.001911
0.234375    7.999769    -0.001979
0.242188    7.999753    -0.002048
0.250000    7.999736    -0.002116
0.257813    7.999719    -0.002184
0.265625    7.999701    -0.002252
0.273438    7.999683    -0.002321
0.281250    7.999664    -0.002389
0.289063    7.999645    -0.002457
0.296875    7.999626    -0.002525
0.304688    7.999606    -0.002594
0.312500    7.999585    -0.002662
0.320313    7.999563    -0.002730
0.328125    7.999541    -0.002798
0.335938    7.999519    -0.002867
0.343750    7.999496    -0.002935
0.351563    7.999473    -0.003003
0.359375    7.999449    -0.003071
0.367188    7.999424    -0.003140
0.375000    7.999399    -0.003208
0.382813    7.999373    -0.003276
0.390625    7.999347    -0.003345
0.398438    7.999321    -0.003413
0.406250    7.999293    -0.003481
0.414063    7.999266    -0.003549
0.421875    7.999238    -0.003618
0.429688    7.999209    -0.003686
0.437500    7.999179    -0.003754
0.445313    7.999149    -0.003822
0.453125    7.999119    -0.003891
0.460938    7.999088    -0.003959
0.468750    7.999056    -0.004027
0.476563    7.999024    -0.004095
0.484375    7.998992    -0.004164
0.492188    7.998959    -0.004232
0.500000    7.998926    -0.004300
0.507813    7.998891    -0.004369
0.515625    7.998857    -0.004437
0.523438    7.998821    -0.004505
0.531250    7.998785    -0.004573
0.539063    7.998749    -0.004642
0.546875    7.998713    -0.004710
0.554688    7.998675    -0.004778
0.562500    7.998638    -0.004846
0.570313    7.998599    -0.004915
0.578125    7.998560    -0.004983
0.585938    7.998520    -0.005051
0.593750    7.998480    -0.005120
0.601563    7.998440    -0.005188
0.609375    7.998399    -0.005256
0.617188    7.998357    -0.005324
0.625000    7.998315    -0.005393
0.632813    7.998273    -0.005461
0.640625    7.998230    -0.005529
0.648438    7.998186    -0.005597
0.656250    7.998141    -0.005666
0.664063    7.998096    -0.005734
0.671875    7.998051    -0.005802
0.679688    7.998005    -0.005871
0.687500    7.997959    -0.005939
0.695313    7.997912    -0.006007
0.703125    7.997865    -0.006075
0.710938    7.997817    -0.006144
0.718750    7.997768    -0.006212
0.726563    7.997719    -0.006280
0.734375    7.997669    -0.006349
0.742188    7.997619    -0.006417
0.750000    7.997569    -0.006485
0.757813    7.997518    -0.006553
0.765625    7.997466    -0.006622
0.773438    7.997414    -0.006690
0.781250    7.997361    -0.006758
0.789063    7.997307    -0.006827
0.796875    7.997253    -0.006895
0.804688    7.997199    -0.006963
0.812500    7.997144    -0.007032
0.820313    7.997089    -0.007100
0.828125    7.997033    -0.007168
0.835938    7.996976    -0.007236
0.843750    7.996919    -0.007305
0.851563    7.996861    -0.007373
0.859375    7.996803    -0.007441
