# This is the run log of SGP
# Time step used = 0.0625
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.062500    8.000000    0.000000
0.125000    7.999966    -0.000546
0.187500    7.999897    -0.001092
0.250000    7.999795    -0.001638
0.312500    7.999659    -0.002184
0.375000    7.999488    -0.002730
0.437500    7.999283    -0.003276
0.500000    7.999044    -0.003822
0.562500    7.998771    -0.004368
0.625000    7.998464    -0.004915
0.687500    7.998123    -0.005461
0.750000    7.997747    -0.006007
0.812500    7.997338    -0.006553
0.875000    7.996894    -0.007100
0.937500    7.996416    -0.007646
1.000000    7.995904    -0.008192
1.062500    7.995358    -0.008739
1.125000    7.994778    -0.009285
1.187500    7.994163    -0.009832
1.250000    7.993515    -0.010379
1.312500    7.992832    -0.010926
1.375000    7.992115    -0.011473
1.437500    7.991364    -0.012020
1.500000    7.990578    -0.012567
1.562500    7.989758    -0.013114
1.625000    7.988904    -0.013661
1.687500    7.988017    -0.014209
1.750000    7.987094    -0.014756
1.812500    7.986138    -0.015304
1.875000    7.985147    -0.015851
1.937500    7.984122    -0.016399
2.000000    7.983063    -0.016947
2.062500    7.981969    -0.017496
2.125000    7.980842    -0.018044
2.187500    7.979680    -0.018592
2.250000    7.978483    -0.019141
2.312500    7.977252    -0.019690
2.375000    7.975987    -0.020239
2.437500    7.974688    -0.020788
2.500000    7.973354    -0.021337
2.562500    7.971986    -0.021887
2.625000    7.970584    -0.022436
2.687500    7.969147    -0.022986
2.750000    7.967676    -0.023536
2.812500    7.966171    -0.024087
2.875000    7.964631    -0.024637
2.937500    7.963057    -0.025188
3.000000    7.961448    -0.025739
3.062500    7.959805    -0.026290
3.125000    7.958127    -0.026841
3.187500    7.956416    -0.027393
3.250000    7.954669    -0.027944
3.312500    7.952888    -0.028496
3.375000    7.951073    -0.029049
3.437500    7.949223    -0.029601
3.500000    7.947338    -0.030154
3.562500    7.945419    -0.030707
3.625000    7.943465    -0.031260
3.687500    7.941477    -0.031814
3.750000    7.939454    -0.032368
3.812500    7.937397    -0.032922
3.875000    7.935304    -0.033476
3.937500    7.933177    -0.034031
4.000000    7.931016    -0.034586
4.062500    7.928820    -0.035141
4.125000    7.926589    -0.035696
4.187500    7.924323    -0.036252
4.250000    7.922022    -0.036808
4.312500    7.919686    -0.037365
4.375000    7.917316    -0.037922
4.437500    7.914911    -0.038479
4.500000    7.912471    -0.039036
4.562500    7.909997    -0.039594
4.625000    7.907487    -0.040152
4.687500    7.904943    -0.040711
4.750000    7.902363    -0.041270
4.812500    7.899749    -0.041829
4.875000    7.897099    -0.042389
4.937500    7.894415    -0.042949
5.000000    7.891696    -0.043509
5.062500    7.888942    -0.044070
5.125000    7.886152    -0.044631
5.187500    7.883328    -0.045192
5.250000    7.880468    -0.045754
5.312500    7.877573    -0.046316
5.375000    7.874643    -0.046879
5.437500    7.871678    -0.047442
5.500000    7.868678    -0.048006
5.562500    7.865643    -0.048570
5.625000    7.862572    -0.049134
5.687500    7.859466    -0.049699
5.750000    7.856324    -0.050264
5.812500    7.853148    -0.050830
5.875000    7.849935    -0.051396
5.937500    7.846687    -0.051963
6.000000    7.843404    -0.052530
6.062500    7.840086    -0.053097
6.125000    7.836731    -0.053665
6.187500    7.833342    -0.054234
6.250000    7.829916    -0.054803
6.312500    7.826456    -0.055372
6.375000    7.822959    -0.055942
6.437500    7.819427    -0.056513
6.500000    7.815860    -0.057084
6.562500    7.812256    -0.057655
6.625000    7.808617    -0.058228
6.687500    7.804942    -0.058800
6.750000    7.801231    -0.059373
6.812500    7.797485    -0.059947
6.875000    7.793702    -0.060521
